Gene Name,KO1,WT1,KO3,WT3
Btd,14.504301,0.454787,28.52441,3.502112
Btg2,102.199608,1.43244,111.360619,6.882366
Btg3,176.268799,9.57092,149.10321,7.424176
Btnl10,19.326349,0.588428,50.134926,2.566213
Btnl7-ps,1.374794,0.112834,1.884981,0
Bzw1,145.227325,62.321075,154.377548,44.088707
Bzw2,10.393693,0.59694,11.830227,0.889164
C030006K11Rik,15.866179,3.935011,22.892801,5.891501
C130074G19Rik,5.917793,0.388887,15.486123,2.475128
C1d,20.09297,5.987399,19.000681,7.778174
C1galt1c1,3.884966,0.45692,5.311812,0.857679
C1qa,52.570087,1.34112,19.229841,1.266676
C1qb,41.558044,1.862914,13.529526,2.595001
C1qbp,91.853355,21.432659,112.356873,25.357534
C1qc,40.799896,0.989535,14.033845,1.608344
C1ql1,5.146083,0.286592,4.229418,0.16644
C1qtnf12,40.671715,4.968194,64.948326,9.726434
C1qtnf6,11.072233,0.438741,13.285949,2.678838
C1qtnf7,0.887501,0,0.574274,0.061892
